TETONXXXXA001.1816B.00

	DS2.GET 65541 REPORT CODES

0	INITIALIZING
1	OFF
2	MFG_OFF
3	GOING_ON
4	IDS_STARTUP_REQUIRED
5	IDS_STARTUP
6	IDLE
7	IO_PRINTING
8	REPORTS_PRINTING
9	CANCELING_PRINTING
10	IO_STALL
11	DRY_TIME_WAIT
12	PEN_CHANGE
13	OUT_OF_PAPER
14	BANNER_EJECTED_NEEDED
15	BANNER_MISMATCH
16	PHOTO_MISMATCH
17	DUPLEX_MISMATCH
18	MEDIA_TOO_NARROW
19	MEDIA_UPSIDE_DOWN
20	MEDIA_JAM
21	CARRIAGE_STALL
22	PAPER_STALL
23	SERVICE_STALL
24	PICK_MOTOR_STALL
25	PUMP_MOTOR_STALL
26	MOTOR_STALL
27	PEN_FAILURE
28	INK_SUPPLY_FAILURE
29	HARD_ERROR
30	IDS_HW_FAILURE
31	POWERING_DOWN
32	FP_TEST
33	HYDE_MISSING
34	OUTPUT_TRAY_CLOSED
35	DUPLEXER_MISSING
36	DUPLEXER_INVALID
37	OUT_OF_INK
38	MEDIA_SIZE_MISMATCH
39	ASSERT
40	LANG_MENU
41	DC_PRINTING
42	DC_PRINTING_ABORT_ERROR
43	DC_SAVING
44	DC_CANCELING_SAVING
45	DC_SAVING_ABORT_ERROR
46	DC_DELETING
47	DC_CANCELING_DELETING
48	DC_DELETING_ABORT_ERROR
49	DC_EMAILING
50	DC_EMAIL_ABORT_ERROR
51	DC_CANCELING_EMAILING
52	DC_CARD_SHORT_ERROR
53	DC_CARD_REMOVED_ERROR
54	DC_BUBBLES_SCANNING
55	DC_BUBBLES_SCAN_DONE
56	DC_CANCELING_BUBBLES
57	DC_BUBBLES_ABORT_ERROR
58	DC_USBHOST_OVERCURRENT_ERROR
59	DC_VIDEO_ENHANCE_PROCESSING
60	DC_CANCELING_VIDEO_ENHANCE
61	DC_VIDEO_ENHANCE_ABORT_ERROR
62	DC_VIDEO_ENHANCE_DELETE
63	DC_VIDEO_ENHANCE_ZOOM
64	DC_VIDEO_ENHANCE_PLAYBACK
65	DC_REDEYE_PROCESSING
66	DC_CANCELING_REDEYE
67	DC_REDEYE_ABORT_ERROR
68	MEDIA_TOO_WIDE
69	MEDIA_WRONG
70	MEDIA_TYPE_WRONG
71	DOOR_OPEN
72	PEN_NOT_LATCHED
73	INK_SUPPLY_CHANGE
74	GENERIC_ERROR
75	IDS_STARTUP_BLOCKED_LOI
76	VLOI
77	ATTENTION_NEEDED
78	(NUM_STATES)
79	*** .ALL FILE MISMATCH OR SERIAL OVERFLOW ***
